February 01, 2022 	37.67M
January 31, 2022 	34.12M
January 30, 2022 	35.53M
January 29, 2022 	35.68M
January 28, 2022 	36.13M
January 27, 2022 	30.23M
January 26, 2022 	31.35M
January 25, 2022 	35.09M
January 24, 2022 	33.83M
January 23, 2022 	31.49M
January 22, 2022 	30.11M
January 21, 2022 	32.98M
January 20, 2022 	46.54M
January 19, 2022 	46.79M
January 18, 2022 	36.13M
January 17, 2022 	43.76M
January 16, 2022 	47.47M
January 15, 2022 	45.04M	
January 14, 2022 	42.69M
January 13, 2022 	49.60M
January 12, 2022 	37.61M
January 11, 2022 	41.82M
January 10, 2022 	37.63M
January 09, 2022 	37.07M
January 08, 2022 	37.78M
January 07, 2022 	38.35M
January 06, 2022 	40.30M
January 05, 2022 	43.72M
January 04, 2022 	43.29M
January 03, 2022 	41.96M
January 02, 2022 	48.21M
January 01, 2022 	50.15M
December 31, 2021 	44.74M
December 30, 2021 	35.34M
December 29, 2021 	43.92M
December 28, 2021 	43.36M
December 27, 2021 	47.66M
December 26, 2021 	42.66M
December 25, 2021 	47.11M
December 24, 2021 	49.18M
December 23, 2021 	47.34M
December 22, 2021 	45.80M
December 21, 2021 	48.35M
December 20, 2021 	42.53M
December 19, 2021 	44.56M
December 18, 2021 	37.34M
December 17, 2021 	45.00M
December 16, 2021 	35.65M
December 15, 2021 	43.21M
December 14, 2021 	44.65M
December 13, 2021 	43.67M
December 12, 2021 	43.66M
December 11, 2021 	46.07M
December 10, 2021 	47.54M
December 09, 2021 	50.55M
December 08, 2021 	53.15M
December 07, 2021 	49.68M
December 06, 2021 	53.09M
December 05, 2021 	52.04M
December 04, 2021 	48.32M
December 03, 2021 	60.16M
December 02, 2021 	56.03M
December 01, 2021 	50.33M
November 30, 2021 	48.79M
November 29, 2021 	52.13M
November 28, 2021 	47.79M
November 27, 2021 	49.25M
November 26, 2021 	46.59M
November 25, 2021 	48.13M
November 24, 2021 	57.14M
November 23, 2021 	48.33M
November 22, 2021 	51.33M
November 21, 2021 	50.11M
November 20, 2021 	53.94M
November 19, 2021 	49.67M
November 18, 2021 	53.83M
November 17, 2021 	56.53M
November 16, 2021 	58.62M
November 15, 2021 	63.15M
November 14, 2021 	65.43M
November 13, 2021 	62.70M
November 12, 2021 	57.92M
November 11, 2021 	65.18M
November 10, 2021 	63.55M
November 09, 2021 	65.84M
November 08, 2021 	57.27M
November 07, 2021 	60.03M
November 06, 2021 	59.38M
November 05, 2021 	60.65M
November 04, 2021 	56.28M
November 03, 2021 	64.24M
November 02, 2021 	62.86M
November 01, 2021 	57.64M
October 31, 2021 	53.66M
October 30, 2021 	60.39M
October 29, 2021 	68.40M
October 28, 2021 	58.31M
October 27, 2021 	59.08M
October 26, 2021 	59.36M
October 25, 2021 	74.42M
October 24, 2021 	58.60M
October 23, 2021 	56.00M
October 22, 2021 	63.21M
October 21, 2021 	60.81M
October 20, 2021 	61.74M
October 19, 2021 	61.80M
October 18, 2021 	58.17M
October 17, 2021 	61.56M
October 16, 2021 	51.92M
October 15, 2021 	54.67M
October 14, 2021 	51.78M
October 13, 2021 	60.20M
October 12, 2021 	48.63M
October 11, 2021 	52.90M
October 10, 2021 	55.63M
October 09, 2021 	52.13M
October 08, 2021 	41.97M
October 07, 2021 	49.41M
October 06, 2021 	43.94M
October 05, 2021 	52.08M
October 04, 2021 	47.64M
October 03, 2021 	45.44M
October 02, 2021 	56.74M
October 01, 2021 	40.88M
September 30, 2021 	46.79M
September 29, 2021 	34.50M
September 28, 2021 	40.40M
September 27, 2021 	43.22M
September 26, 2021 	38.08M
September 25, 2021 	38.68M
September 24, 2021 	40.57M
September 23, 2021 	46.02M
September 22, 2021 	36.09M
September 21, 2021 	33.33M
September 20, 2021 	46.49M
September 19, 2021 	48.13M
September 18, 2021 	47.82M
September 17, 2021 	45.00M
September 16, 2021 	41.45M
September 15, 2021 	43.03M
September 14, 2021 	49.47M
September 13, 2021 	45.34M
September 12, 2021 	42.87M
September 11, 2021 	42.46M
September 10, 2021 	39.76M
September 09, 2021 	40.37M
September 08, 2021 	41.77M
September 07, 2021 	50.27M
September 06, 2021 	57.27M
September 05, 2021 	52.13M
September 04, 2021 	49.15M
September 03, 2021 	47.12M
September 02, 2021 	47.31M
September 01, 2021 	41.67M
August 31, 2021 	43.19M
August 30, 2021 	41.21M
August 29, 2021 	48.55M
August 28, 2021 	43.65M
August 27, 2021 	44.05M
August 26, 2021 	44.34M
August 25, 2021 	48.84M
August 24, 2021 	48.45M
August 23, 2021 	62.78M
August 22, 2021 	50.72M
August 21, 2021 	52.71M
August 20, 2021 	48.45M
August 19, 2021 	44.06M
August 18, 2021 	38.73M
August 17, 2021 	51.24M
August 16, 2021 	47.96M
August 15, 2021 	53.21M
August 14, 2021 	48.77M
August 13, 2021 	42.02M
August 12, 2021 	42.93M
August 11, 2021 	42.94M
August 10, 2021 	48.23M
August 09, 2021 	43.23M
August 08, 2021 	44.18M
August 07, 2021 	45.85M
August 06, 2021 	41.57M
August 05, 2021 	39.94M
August 04, 2021 	33.52M
August 03, 2021 	41.64M
August 02, 2021 	35.94M
August 01, 2021 	40.87M
July 31, 2021 	41.62M
July 30, 2021 	42.09M
July 29, 2021 	40.90M
July 28, 2021 	39.72M
July 27, 2021 	40.63M
July 26, 2021 	36.49M
July 25, 2021 	33.20M
July 24, 2021 	33.02M
July 23, 2021 	27.97M
July 22, 2021 	32.36M
July 21, 2021 	28.60M
July 20, 2021 	23.62M
July 19, 2021 	33.67M
July 18, 2021 	28.99M
July 17, 2021 	28.58M
July 16, 2021 	30.31M
July 15, 2021 	26.36M
July 14, 2021 	35.71M
July 13, 2021 	28.93M
July 12, 2021 	27.89M
July 11, 2021 	27.45M
July 10, 2021 	34.56M
July 09, 2021 	28.04M
July 08, 2021 	29.95M
July 07, 2021 	27.87M
July 06, 2021 	31.92M
July 05, 2021 	29.78M
July 04, 2021 	26.85M
